database,type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
ACM-DL,article,258685,John P. Lehoczky,,,,Using Real-time Queueing Theory to Control Lateness in Real-time Systems,158--168,,11,,10.1145/258623.258685,SIGMETRICS Perform. Eval. Rev.,June 1997,25,1,,June,1997,0163-5999,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,258685,John P. Lehoczky,,,,Using Real-time Queueing Theory to Control Lateness in Real-time Systems,158--168,,11,,10.1145/258612.258685,,,,,,,1997,,Proceedings of the 1997 ACM SIGMETRICS International Conference on Measurement and Modeling of Computer Systems,SIGMETRICS '97,,0-89791-909-2,"Seattle, Washington, USA",ACM,"New York, NY, USA"
ACM-DL,article,203343,Gerald  Tesauro,,,,Temporal Difference Learning and TD-Gammon,58--68,,11,,10.1145/203330.203343,Commun. ACM,March 1995,38,3,,March,1995,0001-0782,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,564888,Gautam  Gupta and Sanjay  Rajopadhye and Patrice  Quinton,,,,Scheduling Reductions on Realistic Machines,117--126,,10,"affine recurrence equations, automatic parallelization, dependence analysis, parametric integer programming, polyhedral model, scheduling theory",10.1145/564870.564888,,,,,,,2002,,Proceedings of the Fourteenth Annual ACM Symposium on Parallel Algorithms and Architectures,SPAA '02,,1-58113-529-7,"Winnipeg, Manitoba, Canada",ACM,"New York, NY, USA"
ACM-DL,article,1481515,Trilce  Estrada and Olac  Fuentes and Michela  Taufer,,,,A Distributed Evolutionary Method to Design Scheduling Policies for Volunteer Computing,40--49,,10,"distributed systems, genetic algorithms, global computing, volatile systems",10.1145/1481506.1481515,SIGMETRICS Perform. Eval. Rev.,December 2008,36,3,,November,2008,0163-5999,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,564285,Ricki G. Ingalls and John W. Nazemetz,,,,Supply Chain Applications I: Designing the Support Logistics for the FAA ACE-IDS System,1117--1122,,6,,,,,,,,,2001,,Proceedings of the 33Nd Conference on Winter Simulation,WSC '01,,0-7803-7309-X,"Arlington, Virginia",IEEE Computer Society,"Washington, DC, USA"
ACM-DL,article,190331,Yutaka  Matsumoto,,,,On Optimization of Polling Policy Represented by Neural Network,181--190,,10,,10.1145/190809.190331,SIGCOMM Comput. Commun. Rev.,Oct. 1994,24,4,,October,1994,0146-4833,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,190331,Yutaka  Matsumoto,,,,On Optimization of Polling Policy Represented by Neural Network,181--190,,10,,10.1145/190314.190331,,,,,,,1994,,"Proceedings of the Conference on Communications Architectures, Protocols and Applications",SIGCOMM '94,,0-89791-682-4,"London, United Kingdom",ACM,"New York, NY, USA"
ACM-DL,article,190693,Jin-Long  Wang and Liang-Teh  Lee,,,,Two-level Congestion Control Schemes for ATM Networks,13--32,,20,,10.1145/190690.190693,SIGICE Bull.,Oct. 1994,20,2,,October,1994,0893-2875,,,,,,ACM,"New York, NY, USA"
ACM-DL,article,1347133,Virginia  Vassilevska,,,,Nondecreasing Paths in a Weighted Graph or: How to Optimally Read a Train Schedule,465--472,,8,,,,,,,,,2008,,Proceedings of the Nineteenth Annual ACM-SIAM Symposium on Discrete Algorithms,SODA '08,,,"San Francisco, California",Society for Industrial and Applied Mathematics,"Philadelphia, PA, USA"
ACM-DL,article,2507995,Miloud  Bagaa and Mohamed  Younis and Nadjib  Badache,,,,Efficient Data Aggregation Scheduling in Wireless Sensor Networks with Multi-channel Links,119--124,,6,"data aggregation, media access scheduling, multi-channels, wireless sensor network",10.1145/2507924.2507995,,,,,,,2013,,"Proceedings of the 16th ACM International Conference on Modeling, Analysis &#38; Simulation of Wireless and Mobile Systems",MSWiM '13,,978-1-4503-2353-6,"Barcelona, Spain",ACM,"New York, NY, USA"
ACM-DL,article,801941,Mario  Tokoro and Kiichiro  Tamaru and Masaaki  Mizuno and Masao  Hori,,,,A High Level Multi-lingual Multiprocessor KMP/II,325--333,,9,,10.1145/800053.801941,,,,,,,1980,,Proceedings of the 7th Annual Symposium on Computer Architecture,ISCA '80,,,"La Baule, USA",ACM,"New York, NY, USA"
ACM-DL,article,1963432,Michael  Grabchak and Narayan  Bhamidipati and Rushi  Bhatt and Dinesh  Garg,,,,Adaptive Policies for Selecting Groupon Style Chunked Reward Ads in a Stochastic Knapsack Framework,167--176,,10,"ad selection, chunked rewards, groupon, revenue maximization",10.1145/1963405.1963432,,,,,,,2011,,Proceedings of the 20th International Conference on World Wide Web,WWW '11,,978-1-4503-0632-4,"Hyderabad, India",ACM,"New York, NY, USA"
